text,label
Review 38: Terrible film. Waste of time and money. Very disappointed.,negative
Review 39: One of the best movies I've seen this year. Highly recommend!,positive
"Review 40: Boring plot, bad acting. Could not finish watching it.",negative
Review 41: A masterpiece of cinema. The director outdid themselves.,positive
Review 42: Not worth watching. The story made no sense at all.,negative
Review 43: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 44: Terrible film. Waste of time and money. Very disappointed.,negative
Review 45: One of the best movies I've seen this year. Highly recommend!,positive
"Review 46: Boring plot, bad acting. Could not finish watching it.",negative
Review 47: A masterpiece of cinema. The director outdid themselves.,positive
Review 48: Not worth watching. The story made no sense at all.,negative
Review 49: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 50: Terrible film. Waste of time and money. Very disappointed.,negative
Review 51: One of the best movies I've seen this year. Highly recommend!,positive
"Review 52: Boring plot, bad acting. Could not finish watching it.",negative
Review 53: A masterpiece of cinema. The director outdid themselves.,positive
Review 54: Not worth watching. The story made no sense at all.,negative
Review 55: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 56: Terrible film. Waste of time and money. Very disappointed.,negative
Review 57: One of the best movies I've seen this year. Highly recommend!,positive
"Review 58: Boring plot, bad acting. Could not finish watching it.",negative
Review 59: A masterpiece of cinema. The director outdid themselves.,positive
Review 60: Not worth watching. The story made no sense at all.,negative
Review 61: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 62: Terrible film. Waste of time and money. Very disappointed.,negative
Review 63: One of the best movies I've seen this year. Highly recommend!,positive
"Review 64: Boring plot, bad acting. Could not finish watching it.",negative
Review 65: A masterpiece of cinema. The director outdid themselves.,positive
Review 66: Not worth watching. The story made no sense at all.,negative
Review 67: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 68: Terrible film. Waste of time and money. Very disappointed.,negative
Review 69: One of the best movies I've seen this year. Highly recommend!,positive
"Review 70: Boring plot, bad acting. Could not finish watching it.",negative
Review 71: A masterpiece of cinema. The director outdid themselves.,positive
Review 72: Not worth watching. The story made no sense at all.,negative
Review 73: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 74: Terrible film. Waste of time and money. Very disappointed.,negative
Review 75: One of the best movies I've seen this year. Highly recommend!,positive
"Review 76: Boring plot, bad acting. Could not finish watching it.",negative
Review 77: A masterpiece of cinema. The director outdid themselves.,positive
Review 78: Not worth watching. The story made no sense at all.,negative
Review 79: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 80: Terrible film. Waste of time and money. Very disappointed.,negative
Review 81: One of the best movies I've seen this year. Highly recommend!,positive
"Review 82: Boring plot, bad acting. Could not finish watching it.",negative
Review 83: A masterpiece of cinema. The director outdid themselves.,positive
Review 84: Not worth watching. The story made no sense at all.,negative
Review 85: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 86: Terrible film. Waste of time and money. Very disappointed.,negative
Review 87: One of the best movies I've seen this year. Highly recommend!,positive
"Review 88: Boring plot, bad acting. Could not finish watching it.",negative
Review 89: A masterpiece of cinema. The director outdid themselves.,positive
Review 90: Not worth watching. The story made no sense at all.,negative
Review 91: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 92: Terrible film. Waste of time and money. Very disappointed.,negative
Review 93: One of the best movies I've seen this year. Highly recommend!,positive
"Review 94: Boring plot, bad acting. Could not finish watching it.",negative
Review 95: A masterpiece of cinema. The director outdid themselves.,positive
Review 96: Not worth watching. The story made no sense at all.,negative
Review 97: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 98: Terrible film. Waste of time and money. Very disappointed.,negative
Review 99: One of the best movies I've seen this year. Highly recommend!,positive
"Review 100: Boring plot, bad acting. Could not finish watching it.",negative
